date,hour,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
2016-07-01,0,1000.4,1005.3,225,2.1,26.4,94,0
2016-07-01,1,1000.43333333,1005.3,212.333333333,2.3,27.2666666667,88,0
2016-07-01,2,1000.27777778,1005.12222222,206.666666667,2.4555555556,28.1444444444,83,0
2016-07-01,3,1000.5,1005.3,187,2.7,29,76,0
2016-07-01,4,999.966666667,1004.76666667,195.333333333,2.7666666667,29.9,73,0
2016-07-01,5,999.588888889,1004.38888889,204.444444444,2.7888888889,30.4888888889,70.1111111111,0
2016-07-01,6,998.9,1003.7,212,2.9,31.7,67,0
2016-07-01,7,998.833333333,1003.63333333,222.666666667,2.8333333333,31.6666666667,64.3333333333,0
2016-07-01,8,998.9,1003.7,227.333333333,2.6333333333,31.4555555556,63.5555555556,0
2016-07-01,9,998.7,1003.5,244,2.7,31.6,59,0
2016-07-01,10,999.033333333,1003.83333333,236.666666667,2.2333333333,31.0333333333,62,0
2016-07-01,11,999.288888889,1004.08888889,218.444444444,1.9555555556,30.4222222222,65.5555555556,0
2016-07-01,12,999.7,1004.5,222,1.3,29.9,68,0
2016-07-01,13,999.8,1004.6,182,1.4,29.2,72.6666666667,0
2016-07-01,14,999.733333333,1004.53333333,166.444444444,1.5,28.5333333333,76.5555555556,0
2016-07-01,15,1000,1004.8,102,1.6,27.8,82,0
2016-07-01,16,999.6,1004.4,135.333333333,1.7,27.2,84.3333333333,0
2016-07-01,17,999.488888889,1004.28888889,172.222222222,1.8,26.7444444444,86,0
2016-07-01,18,998.8,1003.6,202,1.9,26,89,0
2016-07-01,19,999.266666667,1004.06666667,246,2,25.8333333333,89.3333333333,0
2016-07-01,20,999.733333333,1004.53333333,273.222222222,2.0222222222,25.8666666667,88.6666666667,0
2016-07-01,21,1000.2,1005,334,2.2,25.5,90,0
2016-07-01,22,1000.66666667,1005.46666667,327.666666667,2.0666666667,25.9333333333,87.3333333333,0
2016-07-01,23,1001.06666667,1005.86666667,293.555555556,2.1333333333,26.5777777778,84.2222222222,0
2016-07-02,0,1001.6,1006.4,315,1.8,26.8,82,0
2016-07-02,1,1001.86666667,1006.66666667,225.333333333,2.2666666667,27.8666666667,78,0
2016-07-02,2,1001.92222222,1006.73333333,164.555555556,2.4666666667,28.5,76.4444444444,0.1111111111
2016-07-02,3,1002.4,1007.2,46,3.2,30,70,0
2016-07-02,4,1002.03333333,1006.86666667,43,2.8666666667,29.7666666667,73.3333333333,0.3333333333
2016-07-02,5,1001.85555556,1006.71111111,75.2222222222,2.6666666667,29.2333333333,77.2222222222,1.5777777778
2016-07-02,6,1001.3,1006.2,37,2.2,29.3,80,1
2016-07-02,7,1001.5,1006.4,139.666666667,2.2666666667,28.1666666667,85,4.0666666667
2016-07-02,8,1001.82222222,1006.72222222,182.333333333,2.1555555556,27.3222222222,88.2222222222,5
2016-07-02,9,1001.9,1006.8,345,2.4,25.9,95,10.2
2016-07-02,10,1002.46666667,1007.36666667,267.666666667,1.9333333333,25.6333333333,94.6666666667,6.8666666667
2016-07-02,11,1002.71111111,1007.61111111,218.888888889,1.6222222222,25.4777777778,94.6666666667,4.6222222222
2016-07-02,12,1003.6,1008.5,113,1,25.1,94,0.2
2016-07-02,13,1003.2,1008.1,121.333333333,1,25.1666666667,94.6666666667,0.1333333333
2016-07-02,14,1002.76666667,1007.66666667,136.111111111,0.9666666667,25.2222222222,95.1111111111,0.0888888889
2016-07-02,15,1002.4,1007.3,138,1,25.3,96,0
2016-07-02,16,1001.9,1006.8,165.666666667,0.9,25.3333333333,96,0
2016-07-02,17,1001.56666667,1006.46666667,184,0.7666666667,25.3333333333,96.2222222222,0
2016-07-02,18,1000.9,1005.8,221,0.7,25.4,96,0
2016-07-02,19,1000.9,1005.8,220.666666667,0.5,25.3333333333,96.6666666667,0
2016-07-02,20,1000.96666667,1005.86666667,220.444444444,0.5222222222,25.3555555556,97,0
2016-07-02,21,1000.9,1005.8,220,0.1,25.2,98,0
2016-07-02,22,1001.1,1006,220,0.5666666667,25.4,97.6666666667,0
2016-07-02,23,1001.23333333,1006.13333333,217.777777778,0.8888888889,25.6666666667,97,0.0111111111
2016-07-03,0,1001.5,1006.4,220,1.5,25.8,97,0
2016-07-03,1,1001.5,1006.4,213.333333333,1.5333333333,26.2,95.6666666667,0.0333333333
2016-07-03,2,1001.42222222,1006.32222222,209.666666667,1.5777777778,26.5111111111,94.6666666667,0.0444444444
2016-07-03,3,1001.5,1006.4,200,1.6,27,93,0.1
2016-07-03,4,1001.26666667,1006.16666667,202.333333333,1.6666666667,27.1333333333,92.6666666667,0.0666666667
2016-07-03,5,1001.11111111,1006.01111111,205.666666667,1.6333333333,27.2555555556,92.3333333333,0.0555555556
2016-07-03,6,1000.8,1005.7,207,1.8,27.4,92,0
2016-07-03,7,1000.8,1005.7,212.333333333,1.5666666667,27.5,91.6666666667,0.0333333333
2016-07-03,8,1000.88888889,1005.78888889,206.333333333,1.3555555556,27.4777777778,91.4444444444,0.0444444444
2016-07-03,9,1000.8,1005.7,223,1.1,27.7,91,0.1
2016-07-03,10,1001.06666667,1005.96666667,194.333333333,0.9333333333,27.4333333333,91,0.0666666667
2016-07-03,11,1001.31111111,1006.21111111,179.222222222,0.8,27.1555555556,91.5555555556,0.0555555556
2016-07-03,12,1001.6,1006.5,137,0.6,26.9,91,0
2016-07-03,13,1001.8,1006.7,149,0.5333333333,26.6,92.6666666667,0.0333333333
2016-07-03,14,1001.74444444,1006.64444444,174.444444444,0.5222222222,26.3666666667,94,0.0888888889
2016-07-03,15,1002.2,1007.1,173,0.4,26,96,0.1
2016-07-03,16,1001.63333333,1006.53333333,225.333333333,0.5,25.9,96.6666666667,0.2
2016-07-03,17,1001.24444444,1006.14444444,245.777777778,0.4888888889,25.8333333333,97.1111111111,0.2222222222
2016-07-03,18,1000.5,1005.4,330,0.7,25.7,98,0.4
2016-07-03,19,1000.46666667,1005.36666667,286.666666667,0.4666666667,25.7,98,0.2666666667
2016-07-03,20,1000.46666667,1005.36666667,255.111111111,0.5333333333,25.7666666667,97.8888888889,0.1777777778
2016-07-03,21,1000.4,1005.3,200,0,25.7,98,0
2016-07-03,22,1000.46666667,1005.36666667,192,0.6666666667,25.9,97.6666666667,0
2016-07-03,23,1000.5,1005.38888889,187,1.1222222222,26.6444444444,94.3333333333,0
2016-07-04,0,1000.6,1005.5,176,2,26.3,97,0
2016-07-04,1,1000.56666667,1005.43333333,177,2.0333333333,28.1333333333,87.6666666667,0
2016-07-04,2,1000.45555556,1005.3,175.555555556,2.0111111111,29.6777777778,80,0
2016-07-04,3,1000.5,1005.3,179,2.1,31.8,69,0
2016-07-04,4,1000.23333333,1005.03333333,172.666666667,1.9666666667,32.7666666667,64.6666666667,0
2016-07-04,5,999.955555556,1004.75555556,182.555555556,1.8444444444,33.4222222222,61.6666666667,0
2016-07-04,6,999.7,1004.5,160,1.7,34.7,56,0
