tollgate_id,time_window,direction,volume,model0,model1,model2,model3,model4,model5,model6,model7,type0,type1,has_etc1,time_start,month,weekday,time,hour,date
1,"[2016-10-02 00:00:00,2016-10-02 00:20:00)",0,0,1,1,1,1,1,1,1,1,1,1,1,2016-10-01 23:40:00,10,6,0,0,2
1,"[2016-10-02 23:20:00,2016-10-02 23:40:00)",0,0,1,1,1,1,1,1,1,1,1,1,1,2016-10-02 23:00:00,10,6,70,23,2
1,"[2016-10-09 00:00:00,2016-10-09 00:20:00)",0,0,1,1,1,1,1,1,1,1,1,1,1,2016-10-08 23:40:00,10,4,0,0,9
1,"[2016-10-09 23:20:00,2016-10-09 23:40:00)",0,0,1,1,1,1,1,1,1,1,1,1,1,2016-10-09 23:00:00,10,4,70,23,9
1,"[2016-10-01 01:20:00,2016-10-01 01:40:00)",1,0,1,1,1,1,1,1,1,1,1,1,1,2016-10-01 01:00:00,10,5,4,1,1
1,"[2016-10-01 02:00:00,2016-10-01 02:20:00)",1,0,1,1,1,1,1,1,1,1,1,1,1,2016-10-01 01:40:00,10,5,6,2,1
1,"[2016-10-02 22:20:00,2016-10-02 22:40:00)",1,0,1,1,1,1,1,1,1,1,1,1,1,2016-10-02 22:00:00,10,6,67,22,2
1,"[2016-10-07 01:20:00,2016-10-07 01:40:00)",1,0,1,1,1,1,1,1,1,1,1,1,1,2016-10-07 01:00:00,10,4,4,1,7
2,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,0,1,1,1,1,1,1,1,1,1,1,1,2016-09-19 00:20:00,9,0,3,1,19
2,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,0,1,1,1,1,1,1,1,1,1,1,1,2016-09-19 00:40:00,9,0,3,1,19
2,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,0,1,1,1,1,1,1,1,1,1,1,1,2016-09-19 01:20:00,9,0,5,1,19
2,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,0,1,1,1,1,1,1,1,1,1,1,1,2016-09-19 02:00:00,9,0,15,5,19
2,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,0,1,1,1,1,1,1,1,1,1,1,1,2016-09-19 02:20:00,9,0,15,5,19
2,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,0,1,1,1,1,1,1,1,1,1,1,1,2016-09-19 02:40:00,9,0,15,5,19
2,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,0,1,1,1,1,1,1,1,1,1,1,1,2016-09-19 03:00:00,9,0,15,5,19
2,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,0,1,1,1,1,1,1,1,1,1,1,1,2016-09-19 03:20:00,9,0,15,5,19
2,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,0,1,1,1,1,1,1,1,1,1,1,1,2016-09-19 03:40:00,9,0,15,5,19
2,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,0,1,1,1,1,1,1,1,1,1,1,1,2016-09-19 04:00:00,9,0,15,5,19
2,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,0,1,1,1,1,1,1,1,1,1,1,1,2016-09-19 04:20:00,9,0,15,5,19
